Jul 15 19:43:15 ** DGD 1.6.12 running GurbaLib v0.52.
Jul 15 19:43:15 ** State restored.
Jul 15 20:42:07 ** New telnet connection from <unknown>:0
Jul 15 21:42:29 ** New telnet connection from <unknown>:0
Jul 15 21:45:19 ** New telnet connection from <unknown>:0
Jul 15 22:17:45 ** New telnet connection from <unknown>:0
Jul 16 01:58:00 ** New telnet connection from <unknown>:0
Jul 16 04:20:00 ** New telnet connection from <unknown>:0
Jul 16 08:02:28 ** New telnet connection from <unknown>:0
Jul 16 08:31:46 ** New telnet connection from <unknown>:0
Jul 16 10:14:52 ** New telnet connection from <unknown>:0
Jul 16 10:50:37 ** New telnet connection from <unknown>:0
Jul 16 11:00:40 ** New telnet connection from <unknown>:0
Jul 16 11:00:45 ** New telnet connection from <unknown>:0
Jul 16 11:00:54 ** New telnet connection from <unknown>:0
Jul 16 11:01:28 ** New telnet connection from <unknown>:0
Jul 16 12:59:19 ** New telnet connection from <unknown>:0
Jul 16 15:30:38 ** New telnet connection from <unknown>:0
Jul 16 17:25:49 ** New telnet connection from <unknown>:0
Jul 16 17:49:13 ** New telnet connection from <unknown>:0
Jul 16 18:23:05 ** New telnet connection from <unknown>:0
Jul 16 23:27:33 ** New telnet connection from <unknown>:0
Jul 17 01:46:28 ** New telnet connection from <unknown>:0
Jul 17 01:46:33 ** New telnet connection from <unknown>:0
Jul 17 01:46:37 ** New telnet connection from <unknown>:0
Jul 17 07:29:08 ** New telnet connection from <unknown>:0
Jul 17 10:23:20 ** New telnet connection from <unknown>:0
Jul 17 16:23:23 ** New telnet connection from <unknown>:0
Jul 17 16:23:26 ** New telnet connection from <unknown>:0
Jul 18 01:50:22 ** New telnet connection from <unknown>:0
Jul 18 05:13:53 ** New telnet connection from <unknown>:0
Jul 18 05:13:56 ** New telnet connection from <unknown>:0
Jul 18 11:25:21 ** New telnet connection from <unknown>:0
Jul 18 12:45:38 ** New telnet connection from <unknown>:0
Jul 18 16:35:35 ** New telnet connection from <unknown>:0
Jul 18 19:59:29 ** New telnet connection from <unknown>:0
Jul 18 20:41:34 ** New telnet connection from <unknown>:0
Jul 19 00:42:06 ** New telnet connection from <unknown>:0
Jul 19 04:40:23 ** New telnet connection from <unknown>:0
Jul 19 14:18:11 ** New telnet connection from <unknown>:0
Jul 19 18:03:25 ** New telnet connection from <unknown>:0
Jul 20 01:01:38 ** New telnet connection from <unknown>:0
Jul 20 01:47:18 ** New telnet connection from <unknown>:0
Jul 20 02:03:02 ** New telnet connection from <unknown>:0
Jul 20 03:30:35 ** New telnet connection from <unknown>:0
Jul 20 05:12:46 ** New telnet connection from <unknown>:0
Jul 20 05:12:49 ** New telnet connection from <unknown>:0
Jul 20 10:30:57 ** New telnet connection from <unknown>:0
Jul 20 16:24:10 ** New telnet connection from <unknown>:0
Jul 20 16:24:13 ** New telnet connection from <unknown>:0
Jul 20 16:49:46 ** New telnet connection from <unknown>:0
Jul 20 18:30:18 ** New telnet connection from <unknown>:0
Jul 20 18:30:24 ** New telnet connection from <unknown>:0
Jul 20 18:30:27 ** New telnet connection from <unknown>:0
Jul 21 01:56:13 ** New telnet connection from <unknown>:0
Jul 21 01:58:03 ** New telnet connection from <unknown>:0
Jul 21 02:25:40 ** New telnet connection from <unknown>:0
Jul 21 02:25:43 ** New telnet connection from <unknown>:0
Jul 21 06:43:46 ** New telnet connection from <unknown>:0
Jul 21 08:30:25 ** New telnet connection from <unknown>:0
